,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
ram,Cmp-Att-Yd-TD-INT,18-33-233-2-0,17-27-90-0-1,18-30-226-2-0,36-50-422-3-0,23-32-321-1-2,14-28-201-0-1,18-24-202-2-0,18-30-286-1-0,28-40-391-3-1,17-26-176-3-0,33-46-478-6-3,17-33-207-1-1,21-45-187-0-4,24-31-270-0-1,19-24-216-1-0,23-33-282-3-3,20-32-266-1-0,26-41-309-1-1,21-35-262-0-1
ram,First Downs,23,5,16,25,30,24,20,16,23,29,27,24,14,17,33,22,19,19,22
ram,Fourth Down Conv.,0-0,1-1,1-2,2-2,1-1,1-1,0-0,0-0,0-2,0-1,1-1,0-0,1-3,0-1,0-0,1-1,3-4,1-1,0-1
ram,Fumbles-Lost,1-0,0-0,2-2,1-1,2-0,0-0,1-0,1-1,0-0,1-1,2-2,1-1,1-0,0-0,1-1,1-1,1-0,1-0,1-0
ram,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ram,Net Pass Yards,225,83,215,392,313,174,193,253,391,141,448,195,162,270,192,264,258,301,253
ram,Opp Score,13,34,35,38,31,20,10,29,45,36,54,16,15,23,9,48,30,23,3
ram,Opp_Cmp-Att-Yd-TD-INT,29-40-303-0-3,24-32-354-1-1,29-36-354-3-1,26-34-465-5-0,13-21-198-3-0,25-41-322-2-1,15-27-170-1-2,20-36-307-3-0,25-36-346-4-0,28-39-318-2-0,31-49-413-4-0,20-34-245-1-1,16-30-110-1-3,35-54-339-0-1,18-31-182-1-0,17-29-222-4-0,15-28-186-0-0,26-41-249-2-1,19-38-229-0-1
ram,Opp_First Downs,20,24,33,25,20,23,16,23,31,25,29,23,17,23,15,28,30,19,14
ram,Opp_Fourth Down Conv.,0-0,1-3,0-0,0-1,0-0,0-1,0-1,1-1,2-2,0-0,1-1,0-0,0-0,0-1,1-2,0-1,2-2,0-0,0-0
ram,Opp_Fumbles-Lost,0-0,0-0,1-1,1-0,0-0,1-0,3-2,0-0,1-1,0-0,3-2,1-1,0-0,3-2,0-0,2-0,1-0,2-0,1-0
ram,Opp_Net Pass Yards,300,342,350,456,183,297,121,281,346,307,379,208,100,325,159,222,186,242,198
ram,Opp_Penalties-Yards,11-155,5-49,6-64,2-15,7-50,6-61,2-10,2-15,2-20,10-102,8-60,8-54,6-45,5-50,7-54,6-57,4-41,3-20,9-65
ram,Opp_Rush-Yds-TDs,23-95-1,33-90-3,35-171-1,20-100-0,32-190-1,17-60-0,24-107-0,34-135-0,34-141-2,23-149-2,21-76-1,26-102-0,35-194-0,18-82-2,18-104-0,42-155-1,48-273-3,21-48-0,18-62-0
ram,Opp_Sacked-Yards,1-3,2-12,1-4,1-9,2-15,2-25,7-49,5-26,0-0,2-11,5-34,4-37,1-10,2-14,4-23,0-0,0-0,2-7,4-31
ram,Opp_Third Down Conv.,5-11,8-15,8-11,1-6,7-12,3-10,3-11,8-18,7-12,5-10,5-14,2-12,7-16,4-12,2-11,10-16,5-11,6-14,3-13
ram,Opp_Time of Possession,31:31,34:08,34:16,27:46,30:30,24:50,27:09,34:10,33:41,29:23,30:23,31:44,36:49,28:24,22:56,31:50,36:13,30:41,26:50
ram,Opp_Total Yards,395,432,521,556,373,357,228,416,487,456,455,310,294,407,263,377,459,290,260
ram,Opp_Turnovers,3,1,2,0,0,1,4,0,1,0,2,2,3,3,0,0,0,1,1
ram,Penalties-Yards,8-70,9-47,4-30,4-35,7-45,10-81,1-10,2-10,4-32,7-56,13-135,7-105,9-57,6-49,6-66,5-41,4-26,7-64,3-20
ram,Rush-Yds-TDs,26-140-0,15-54-0,20-141-1,17-54-0,30-155-3,39-270-2,36-146-2,19-106-2,19-92-1,34-273-1,20-98-0,29-149-2,13-52-0,30-111-3,41-269-3,22-127-1,22-50-2,26-77-1,32-154-1
ram,Sacked-Yards,1-8,1-7,2-11,4-30,1-8,5-27,1-9,3-33,0-0,4-35,3-30,2-12,3-25,0-0,2-24,3-18,1-8,1-8,1-9
ram,Third Down Conv.,4-11,3-12,7-13,8-16,3-9,8-17,5-12,2-9,3-8,2-9,5-10,5-11,3-12,4-13,6-9,3-11,1-10,6-16,3-12
ram,Time of Possession,28:29,25:52,25:44,32:14,29:30,35:10,32:51,25:50,26:19,30:37,29:37,28:16,23:11,31:36,37:04,28:10,23:47,32:36,33:10
ram,Total Yards,365,137,356,446,468,444,339,359,483,414,546,344,214,381,461,391,308,378,407
ram,Turnovers,0,1,2,1,2,1,0,1,1,1,5,2,4,1,1,4,0,1,1
ram,ram Score,33,0,23,31,33,23,39,27,35,31,51,30,6,30,31,32,22,26,13
