,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
Pit,Cmp-Att-Yd-TD-INT,19-29-220-2-0,22-40-235-1-1,16-28-235-2-0,18-28-132-0-1,22-38-236-0-1,17-25-230-0-0,24-32-292-1-1,22-39-262-0-1,21-40-289-2-2,15-28-106-0-0,24-33-278-0-0,13-23-145-1-0,19-28-240-3-1,18-26-172-1-2,28-42-335-1-3,18-24-274-0-0,18-20-152-1-0,22-39-229-2-1
Pit,First Downs,22,20,17,12,19,17,20,23,17,12,22,18,14,13,17,25,16,22
Pit,Fourth Down Conv.,1-1,0-2,0-0,0-1,0-2,1-1,0-0,1-2,2-2,1-1,0-0,0-0,0-0,2-3,0-2,2-3,0-0,0-1
Pit,Fumbles-Lost,3-1,4-3,0-0,2-0,4-2,1-0,2-2,0-0,2-0,0-0,1-1,2-0,0-0,1-1,1-0,2-0,6-2,2-1
Pit,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pit,Net Pass Yards,203,210,228,111,210,214,271,235,283,77,268,132,222,142,309,266,134,218
Pit,Opp Score,7,26,18,30,17,17,10,20,23,13,10,10,18,30,34,23,10,31
Pit,Opp_Cmp-Att-Yd-TD-INT,31-46-232-1-2,15-30-222-1-1,28-44-324-2-3,17-31-312-3-0,18-32-224-1-0,14-29-231-1-1,25-43-211-1-2,19-30-160-1-0,14-23-126-0-0,24-43-165-0-1,19-26-227-1-1,18-27-187-1-0,22-36-190-1-1,18-28-215-3-0,17-27-290-2-0,23-33-290-1-0,15-28-146-1-0,21-30-203-3-0
Pit,Opp_First Downs,15,9,19,24,17,19,17,22,21,20,10,18,18,19,16,17,13,24
Pit,Opp_Fourth Down Conv.,1-3,0-0,1-2,0-1,0-0,0-0,0-2,0-0,1-1,1-1,0-0,0-1,1-3,1-2,0-0,0-0,1-1,1-1
Pit,Opp_Fumbles-Lost,0-0,1-1,1-0,2-0,1-1,0-0,2-0,0-0,0-0,0-0,1-0,2-1,1-0,0-0,1-0,2-1,2-2,0-0
Pit,Opp_Net Pass Yards,198,200,293,312,202,219,191,160,119,163,197,187,182,202,284,281,118,189
Pit,Opp_Penalties-Yards,6-60,5-31,7-60,8-63,3-30,5-40,6-52,10-80,3-27,1-10,5-36,9-77,1-5,2-10,2-15,4-25,3-26,2-24
Pit,Opp_Rush-Yds-TDs,10-41-0,21-55-0,19-69-0,38-139-0,30-87-0,31-135-1,18-70-0,30-166-1,36-205-2,29-96-1,11-25-0,31-130-0,28-82-1,34-170-0,30-113-2,15-88-1,25-106-0,34-179-1
Pit,Opp_Sacked-Yards,5-34,2-22,4-31,0-0,3-22,2-12,3-20,0-0,1-7,1-2,4-30,0-0,2-8,3-13,1-6,1-9,4-28,2-14
Pit,Opp_Third Down Conv.,5-15,4-14,4-13,6-12,6-15,9-16,3-12,6-12,4-13,4-17,2-10,4-11,3-14,6-15,7-14,3-9,4-13,5-12
Pit,Opp_Time of Possession,22:37,24:32,29:57,32:35,29:46,31:46,25:44,28:51,30:33,31:27,22:43,30:43,32:19,33:20,28:11,22:27,25:06,33:19
Pit,Opp_Total Yards,239,255,362,451,289,354,261,326,324,259,222,317,264,372,397,369,224,368
Pit,Opp_Turnovers,2,2,3,0,1,1,2,0,0,1,1,1,1,0,0,1,2,0
Pit,Penalties-Yards,11-85,8-81,6-45,2-18,2-20,8-76,6-72,7-51,5-32,6-46,5-55,6-51,7-59,8-101,3-20,2-10,4-25,6-50
Pit,Pit Score,30,22,23,6,10,24,20,16,19,10,16,24,21,13,11,30,17,17
Pit,Rush-Yds-TDs,34-188-1,35-198-1,31-105-0,25-114-0,25-125-1,29-86-3,30-106-0,25-105-1,24-116-0,26-172-1,33-153-1,38-150-2,25-81-0,24-74-1,16-59-0,46-202-3,39-155-1,23-106-0
Pit,Sacked-Yards,3-17,6-25,1-7,3-21,4-26,2-16,3-21,4-27,1-6,3-29,2-10,2-13,2-18,4-30,3-26,1-8,3-18,1-11
Pit,Third Down Conv.,6-13,5-16,6-15,6-14,5-14,4-12,6-13,3-13,8-16,3-14,8-17,10-17,4-13,4-12,6-13,6-13,6-15,5-11
Pit,Time of Possession,37:23,35:28,30:03,27:25,30:14,28:14,34:16,31:09,29:27,28:33,37:17,29:17,27:41,26:40,31:49,37:33,34:54,26:41
Pit,Total Yards,391,408,333,225,335,300,377,340,399,249,421,282,303,216,368,468,289,324
Pit,Turnovers,1,4,0,1,3,0,3,1,2,0,1,0,1,3,3,0,2,2
